FountainTy,the_geom,OBJECTID,Position,Collection,Painted,GISPROPNUM,SIGNNAME,BOROUGH,FountainCo,GISOBJID,SYSTEM,DEPARTMENT,PARENTID,DESCRIPTIO,FEATURESTA
A,POINT (-73.8824442256074 40.87777559860616),806,"Out in Open, In Playground",01/28/2018 12:00:00 AM +0000,yes,X033,Mosholu Parkway,X,1,100038230,X033-DF0164,X-07,X033,"A, Out in Open, In Playground",Active
A,POINT (-73.81054256467674 40.71087608687077),1138,In Playground,02/01/2018 12:00:00 AM +0000,no,Q379,Briarwood Playground,Q,1,100038586,Q379-DF0281,Q-08,Q379,"A, In Playground",Active
A,POINT (-73.85193049271551 40.84860091201041),1470,Under Tree,02/06/2018 12:00:00 AM +0000,no,X163,Loreto Playground,X,1,100038850,X163-DF0271,X-11,X163,"A, Under Tree",Active
B,POINT (-73.97700431056619 40.76891379053149),1802,In Playground,02/13/2018 12:00:00 AM +0000,no,M010,Central Park,M,1,100039238,M010-DF0012,M-13,M010,"B, In Playground",Active
A,POINT (-73.92952529477165 40.874279839414406),2134,Out in Open,02/25/2018 12:00:00 AM +0000,no,M042,Inwood Hill Park,M,1,100039568,M042-DF0131,M-12,M042,"A, Out in Open",Active
CS Metal,POINT (-73.98781148599002 40.68464971084134),282,Just Outside Playground,01/19/2018 12:00:00 AM +0000,no,B230,Nicholas Naquan Heyward Jr. Park,B,1,100037677,B230-DF0246,B-06,B230,"CS Metal, Just Outside Playground",Active
E Wheelchair,POINT (-73.98441728356667 40.67262218893638),288,In Playground,01/19/2018 12:00:00 AM +0000,yes,B111,J.J. Byrne Playground,B,1,100037688,B111-DF0252,B-06,B111,"E Wheelchair, In Playground",Active
A,POINT (-73.9147264342499 40.82735827816278),952,"Under Tree, In Shade, In Playground",01/30/2018 12:00:00 AM +0000,yes,X219,Arcilla Playground,X,1,100038365,X219-DF0209,X-04,X219,"A, Under Tree, In Shade, In Playground",Active
A,POINT (-73.90906618813503 40.81994893763634),1616,"Out in Open, In Playground",02/11/2018 12:00:00 AM +0000,yes,X235,Grove Hill Playground,X,1,100039051,X235-DF0300,X-01,X235,"A, Out in Open, In Playground",Active
D,POINT (-73.82375812542291 40.78449051323328),2203,Under Tree,02/27/2018 12:00:00 AM +0000,no,Q089B,Harvey Park,Q,1,100039667,Q089B-DF0653,Q-07,Q089B,"D, Under Tree",Active
A,POINT (-73.87808108966506 40.81735205924633),2280,Near Ballfield,02/28/2018 12:00:00 AM +0000,no,X118,Soundview Park,X,1,100039648,X118-DF0418,X-09,X118,"A, Near Ballfield",Active
E Wheelchair,POINT (-73.97766443733022 40.7707791411441),2867,"Near Ballfield, Under Tree, Out in Open",05/17/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040261,M010-DF0579,M-13,M010,"E Wheelchair, Near Ballfield, Under Tree, Out in Open",Active
C,POINT (-73.9993634877068 40.68968000190902),305,In Playground,01/20/2018 12:00:00 AM +0000,no,B050,Van Voorhees Park,B,1,100037739,B050-DF0265,B-06,B050,"C, In Playground",Active
Bottle Filler High Low,POINT (-73.88816438703891 40.82263346186214),969,In Playground,01/31/2018 12:00:00 AM +0000,no,X029,Lyons Square Park,X,2,100038379,X029-DF0216,X-02,X029,"Bottle Filler High Low, In Playground",Active
A,POINT (-73.89035591125649 40.86207078169789),975,"Under Tree, Out in Open",02/13/2018 12:00:00 AM +0000,no,X042,Rose Hill Park,X,1,100038375,X042-DF0218,X-06,X042,"A, Under Tree, Out in Open",Active
A,POINT (-74.09850218311765 40.57667495487745),1516,Near Ballfield,02/07/2018 12:00:00 AM +0000,yes,R038A,Midland Field,R,1,100038931,R038A-DF0057,R-02B,R038A,"A, Near Ballfield",Active
A,POINT (-73.8995132916809 40.64679552343491),1639,"Out in Open, Just Outside Playground",02/12/2018 12:00:00 AM +0000,yes,B342,100% Playground,B,1,100039023,B342-DF0655,B-18,B342,"A, Out in Open, Just Outside Playground",Active
Pedestal,POINT (-73.93490670006025 40.78529847708124),2180,Near Ballfield,02/26/2018 12:00:00 AM +0000,no,M107,Wards Island Park,M,1,100039529,M107-DF0154,M-11R,M107,"Pedestal, Near Ballfield",Active
D,POINT (-73.99128756218997 40.72262292613464),2303,"Under Tree, Just Outside Playground, Near Ballfield",02/28/2018 12:00:00 AM +0000,no,M105,Sara D. Roosevelt Park,M,1,100039733,M105-DF0219,M-03,M105,"D, Under Tree, Just Outside Playground, Near Ballfield",Active
A,POINT (-73.9709548087863 40.768585911646376),2844,"Under Tree, In Shade",05/23/2018 12:00:00 AM +0000,no,M010,Central Park,M,1,100040202,M010-DF0556,M-13,M010,"A, Under Tree, In Shade",Active
E Wheelchair,POINT (-73.95870407929567 40.78432795172198),2967,Out in Open,06/01/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040343,M010-DF0632,M-13,M010,"E Wheelchair, Out in Open",Active
C,POINT (-74.0145772268653 40.61303631182941),1662,Near Ballfield,02/12/2018 12:00:00 AM +0000,no,B028,Dyker Beach Park,B,1,100039020,B028-DF0666,B-10,B028,"C, Near Ballfield",Active
D,POINT (-73.80754588244689 40.78301747850972),2326,"Under Tree, In Playground",03/01/2018 12:00:00 AM +0000,no,Q390,Clintonville Playground,Q,1,100039694,Q390-DF0690,Q-07,Q390,"D, Under Tree, In Playground",Active
C,POINT (-73.87170657629133 40.82134085191524),2990,"Out in Open, Near Ballfield",06/06/2018 12:00:00 AM +0000,,X004,Bronx River Parkway,X,1,100040362,X004-DF0437,X-09,X004,"C, Out in Open, Near Ballfield",Active
