FountainTy,the_geom,OBJECTID,Position,Collection,Painted,GISPROPNUM,SIGNNAME,BOROUGH,FountainCo,GISOBJID,SYSTEM,DEPARTMENT,PARENTID,DESCRIPTIO,FEATURESTA
E Wheelchair,POINT (-73.98334929585143 40.57265277440958),1004,Out in Open,01/31/2018 12:00:00 AM +0000,no,B169,Coney Island Beach & Boardwalk,B,1,100038429,B169-DF0600,B-13,B169,"E Wheelchair, Out in Open",Active
E Wheelchair,POINT (-73.8849788948564 40.73068049024014),2000,Out in Open,02/19/2018 12:00:00 AM +0000,,Q492,Elmhurst Park,Q,1,100039384,Q492-DF0588,Q-04,Q492,"E Wheelchair, Out in Open",Active
Other,POINT (-73.93028739438122 40.86380628332326),2332,Under Tree,03/01/2018 12:00:00 AM +0000,no,M029,Fort Tryon Park,M,1,100039722,M029-DF0232,M-12,M029,"Other, Under Tree",Active
A,POINT (-74.00458783283666 40.67265569646671),19,Out in Open,01/11/2018 12:00:00 AM +0000,yes,B126,Red Hook Recreation Area,B,1,100037418,B126-DF0009,B-06,B126,"A, Out in Open",Active
Other,POINT (-73.95225380388891 40.81798196839418),2687,"Near Ballfield, Just Outside Playground",04/23/2018 12:00:00 AM +0000,no,M003,Annunciation Playground,M,1,100040012,M003-DF0490,M-09,M003,"Other, Near Ballfield, Just Outside Playground",Active
A,POINT (-73.96787068343025 40.66972476180353),3019,,11/30/1899 12:00:00 AM +0000,,B073,Prospect Park,B,1,100040467,B073-DF0942,B-19,B073,A,Active
E Wheelchair,POINT (-73.99456136523115 40.57143607922636),958,Out in Open,01/30/2018 12:00:00 AM +0000,no,B169,Coney Island Beach & Boardwalk,B,1,100038361,B169-DF0578,B-13,B169,"E Wheelchair, Out in Open",Active
A,POINT (-74.01097258666516 40.602585425577026),1207,Under Tree,02/01/2018 12:00:00 AM +0000,yes,B164,Bath Beach Park,B,1,100038670,B164-DF0627,B-11,B164,"A, Under Tree",Active
D,POINT (-74.06521231709507 40.59103751430641),1545,Near Ballfield,02/08/2018 12:00:00 AM +0000,yes,R046,Franklin D. Roosevelt Boardwalk and Beach,R,1,100038903,R046-DF0078,R-02B,R046,"D, Near Ballfield",Active
CS Metal,POINT (-74.0191765917712 40.653293181653964),1794,Near Ballfield,02/04/2018 12:00:00 AM +0000,no,BT15,Bush Terminal Park,B,1,100039179,BT15-DF0739,B-07,BT15,"CS Metal, Near Ballfield",Active
B,POINT (-73.9770010567385 40.77181245060542),2873,"Under Tree, In Shade, Out in Open",05/17/2018 12:00:00 AM +0000,no,M010,Central Park,M,1,100040272,M010-DF0585,M-13,M010,"B, Under Tree, In Shade, Out in Open",Active
A,POINT (-73.81413047599146 40.82326347481371),317,"Under Tree, Out in Open",01/20/2018 12:00:00 AM +0000,no,X191A,Bicentennial Veterans Memorial Park,X,1,100037730,X191A-DF0035,X-10,X191A,"A, Under Tree, Out in Open",Active
CS Concrete,POINT (-74.1856786050053 40.52220468774808),520,In Playground,01/24/2018 12:00:00 AM +0000,no,R085,E.M.T. Christopher J. Prescott Playground,R,1,100037936,R085-DF0007,R-03,R085,"CS Concrete, In Playground",Active
E Wheelchair,POINT (-73.88955071395726 40.88111539722074),858,Out in Open,01/29/2018 12:00:00 AM +0000,yes,X137,Jerome Park,X,1,100038246,X137-DF0186,X-07,X137,"E Wheelchair, Out in Open",Active
E,POINT (-73.89500318525224 40.83659810260071),1645,Out in Open,02/12/2018 12:00:00 AM +0000,yes,X010,Crotona Park,X,1,100039025,X010-DF0322,X-03,X010,"E, Out in Open",Active
Pedestal,POINT (-73.91776206778891 40.795585942010305),2186,"Out in Open, Near Ballfield",02/26/2018 12:00:00 AM +0000,no,M104,Randall's Island Park,M,1,100039580,M104-DF0160,M-11R,M104,"Pedestal, Out in Open, Near Ballfield",Active
B,POINT (-73.98213149639126 40.72694687963521),2481,"In Playground, Near Ballfield",03/12/2018 12:00:00 AM +0000,no,M088,Tompkins Square Park,M,1,100039819,M088-DF0304,M-03,M088,"B, In Playground, Near Ballfield",Active
C,POINT (-73.85805850211362 40.761448944119955),3520,Out in open,11/06/2018 12:00:00 AM +0000,No,Q084A,Grand Central Parkway Extension,Q,0,,Q084A-DF0832,Q-03,Q084A,"C, Out in open",Active
CS Concrete,POINT (-73.88681473569041 40.65577893501757),171,In Playground,01/15/2018 12:00:00 AM +0000,yes,B345,Ethan Allen Playground,B,1,100037568,B345-DF0161,B-05,B345,"CS Concrete, In Playground",Active
A,POINT (-73.96609333401265 40.65280063770007),420,"Out in Open, Near Ballfield",01/22/2018 12:00:00 AM +0000,no,B068,Parade Ground,B,1,100037836,B068-DF0340,B-14,B068,"A, Out in Open, Near Ballfield",Active
A,POINT (-73.91019192033649 40.747358743599634),666,"Under Tree, Just Outside Playground",01/26/2018 12:00:00 AM +0000,no,Q031,Lawrence Virgilio Playground,Q,1,100038011,Q031-DF0077,Q-02,Q031,"A, Under Tree, Just Outside Playground",Active
A,POINT (-73.80520669896744 40.73623136862756),1253,Out in Open,02/02/2018 12:00:00 AM +0000,no,Q342,Electric Playground,Q,1,100038633,Q342-DF0375,Q-08,Q342,"A, Out in Open",Active
A,POINT (-74.08754251070087 40.571007811391695),1499,Out in Open,02/07/2018 12:00:00 AM +0000,yes,R046,Franklin D. Roosevelt Boardwalk and Beach,R,1,100038869,R046-DF0041,R-02,R046,"A, Out in Open",Active
D,POINT (-74.08997208516342 40.639260871276015),1748,Under Tree,02/13/2018 12:00:00 AM +0000,no,R123,Jones Woods Park,R,1,100039151,R123-DF0104,R-01,R123,"D, Under Tree",Active
E Wheelchair,POINT (-73.97273628820487 40.722371907752894),2581,Near Ballfield,04/04/2018 12:00:00 AM +0000,yes,M144,John V. Lindsay East River Park,M,1,100039935,M144-DF0388,M-03,M144,"E Wheelchair, Near Ballfield",Active
A,POINT (-73.92370872268175 40.70387700188239),25,Near Ballfield,01/11/2018 12:00:00 AM +0000,yes,B016,Maria Hernandez Park,B,1,100037408,B016-DF0015,B-04,B016,"A, Near Ballfield",Active
E Wheelchair,POINT (-73.82510496905898 40.84842752173045),271,In Playground,01/19/2018 12:00:00 AM +0000,no,X039,Pelham Bay Park,X,1,100037668,X039-DF0026,X-15,X039,"E Wheelchair, In Playground",Active
A,POINT (-73.78830235140744 40.870273344908526),566,Out in Open,01/25/2018 12:00:00 AM +0000,yes,X039,Pelham Bay Park,X,1,100037911,X039-DF0101,X-15,X039,"A, Out in Open",Active
C,POINT (-73.90600050343777 40.871998228777244),812,"In Playground, Under Tree",01/28/2018 12:00:00 AM +0000,no,X175,Riverbend Playground,X,1,100038194,X175-DF0170,X-07,X175,"C, In Playground, Under Tree",Active
A,POINT (-73.83858288889434 40.746351331325),1107,Under Tree,02/01/2018 12:00:00 AM +0000,yes,Q099,Flushing Meadows Corona Park,Q,1,100038548,Q099-DF0256,Q-15,Q099,"A, Under Tree",Active
D,POINT (-73.78052005246587 40.692604681103276),1353,Near Ballfield,02/03/2018 12:00:00 AM +0000,no,Q051,St. Albans Park,Q,1,100038757,Q051-DF0448,Q-12,Q051,"D, Near Ballfield",Active
A,POINT (-73.90405111042894 40.84532084113905),1894,"Under Tree, In Playground",02/15/2018 12:00:00 AM +0000,yes,X258,Cleopatra Playground,X,1,100039268,X258-DF0369,X-05,X258,"A, Under Tree, In Playground",Active
C,POINT (-73.93587725987466 40.60866654657479),2435,Just Outside Playground,03/06/2018 12:00:00 AM +0000,no,B057,Marine Park,B,1,100039856,B057-DF0834,B-18,B057,"C, Just Outside Playground",Active
Other,POINT (-73.87389306702221 40.82760138690749),795,Near Ballfield,01/28/2018 12:00:00 AM +0000,yes,X004,Bronx River Parkway,X,1,100038094,X004-DF0153,X-09,X004,"Other, Near Ballfield",Active
E Wheelchair,POINT (-74.00111261958646 40.57213276830626),961,Out in Open,01/30/2018 12:00:00 AM +0000,no,B169,Coney Island Beach & Boardwalk,B,1,100038343,B169-DF0581,B-13,B169,"E Wheelchair, Out in Open",Active
A,POINT (-73.88051286062016 40.720995595053274),1293,Near Ballfield,02/02/2018 12:00:00 AM +0000,no,Q102,Juniper Valley Park,Q,1,100038678,Q102-DF0403,Q-05,Q102,"A, Near Ballfield",Active
E Wheelchair,POINT (-74.19250697632565 40.591001423913646),1459,Out in Open,02/06/2018 12:00:00 AM +0000,yes,R156,Sylvan Grove Cemetery,R,1,100038818,R156-DF0028,R-02,R156,"E Wheelchair, Out in Open",Active
B,POINT (-74.13466278402355 40.61984365004865),1791,Out in Open,02/13/2018 12:00:00 AM +0000,yes,R029,Westerleigh Park,R,1,100039126,R029-DF0126,R-01,R029,"B, Out in Open",Active
A,POINT (-73.9691489279804 40.804408594806674),1957,Out in Open,02/17/2018 12:00:00 AM +0000,no,M071,Riverside Park,M,1,100039326,M071-DF0084,M-14,M071,"A, Out in Open",Active
E Wheelchair Dog,POINT (-74.01471544935625 40.70395441591994),2455,Under Tree,03/10/2018 12:00:00 AM +0000,yes,M005,The Battery,M,1,100039802,M005-DF0278,M-01,M005,"E Wheelchair Dog, Under Tree",Active
C,POINT (-73.94047251379399 40.57753166184566),2953,In Playground,02/01/2018 12:00:00 AM +0000,no,B251,Manhattan Beach Park,B,1,100040351,B251-DF0931,B-15,B251,"C, In Playground",Active
C,POINT (-73.99534397138845 40.578349376402066),440,"Out in Open, In Playground",01/22/2018 12:00:00 AM +0000,no,B129,Kaiser Park,B,1,100037880,B129-DF0355,B-13,B129,"C, Out in Open, In Playground",Active
A,POINT (-74.15196450426406 40.54688671148682),938,In Playground,01/30/2018 12:00:00 AM +0000,yes,R071,Great Kills Park,R,1,100038317,R071-DF0009,R-03,R071,"A, In Playground",Active
C,POINT (-73.88155228547986 40.817842880718885),1436,In Shade,02/13/2018 12:00:00 AM +0000,no,X336,Hunts Point Riverside Park,X,1,100038886,X336-DF0263,X-02,X336,"C, In Shade",Active
A,POINT (-73.86143222936266 40.74837284759702),1602,"Out in Open, Near Ballfield",02/11/2018 12:00:00 AM +0000,no,Q026,Park Of The Americas,Q,1,100039031,Q026-DF0557,Q-04,Q026,"A, Out in Open, Near Ballfield",Active
D,POINT (-73.92668871045217 40.825681248284084),2100,"In Playground, Out in Open",02/22/2018 12:00:00 AM +0000,no,X348,River Avenue Parks,X,1,100039395,X348-DF0399,X-04,X348,"D, In Playground, Out in Open",Active
A,POINT (-73.98557825465977 40.59445497597914),583,"Under Tree, In Shade, In Playground",01/25/2018 12:00:00 AM +0000,yes,B106B,Lafayette Playground,B,1,100037922,B106B-DF0418,B-13,B106B,"A, Under Tree, In Shade, In Playground",Active
A,POINT (-73.81283797164888 40.74662148033163),2169,Near Ballfield,02/26/2018 12:00:00 AM +0000,no,Q024,Kissena Park,Q,1,100039509,Q024-DF0643,Q-07,Q024,"A, Near Ballfield",Active
C,POINT (-73.91828394471898 40.69500513094034),2833,Near Ballfield,05/16/2018 12:00:00 AM +0000,no,B139,Heckscher Playground,B,1,100040254,B139-DF0880,B-04,B139,"C, Near Ballfield",Active
C,POINT (-73.90659335217818 40.66743308415018),105,"Under Tree, In Shade, Out in Open, Just Outside Playground",01/14/2018 12:00:00 AM +0000,yes,B228,Dr. Green Playground,B,1,100037538,B228-DF0095,B-16,B228,"C, Under Tree, In Shade, Out in Open, Just Outside Playground",Active
A,POINT (-73.96226718672769 40.69258282643545),228,"In Playground, Under Tree",01/18/2018 12:00:00 AM +0000,yes,B292,Pratt Playground,B,1,100037595,B292-DF0216,B-02,B292,"A, In Playground, Under Tree",Active
A,POINT (-73.79191509523044 40.8687291974809),560,Under Tree,01/25/2018 12:00:00 AM +0000,yes,X039,Pelham Bay Park,X,1,100037919,X039-DF0095,X-15,X039,"A, Under Tree",Active
C,POINT (-73.92188003326336 40.65865993363679),769,"Out in Open, In Playground, In Shade",01/27/2018 12:00:00 AM +0000,no,B304,Kennedy King Playground,B,1,100038106,B304-DF0500,B-17,B304,"C, Out in Open, In Playground, In Shade",Active
D,POINT (-73.76791162023117 40.599778213914504),1101,Near Ballfield,06/07/2018 12:00:00 AM +0000,no,Q007,Bayswater Park,Q,1,100038498,Q007-DF0250,Q-14,Q007,"D, Near Ballfield",Active
CS Concrete,POINT (-73.98479840907665 40.78340932136799),1814,In Playground,02/14/2018 12:00:00 AM +0000,no,M071,Riverside Park,M,1,100039212,M071-DF0017,M-14,M071,"CS Concrete, In Playground",Active
A,POINT (-73.92538193790725 40.593855511780106),2810,Near Ballfield,05/11/2018 12:00:00 AM +0000,no,B057,Marine Park,B,1,100040233,B057-DF0875,B-18,B057,"A, Near Ballfield",Active
E Wheelchair Child,POINT (-73.86805122557668 40.70256506964099),460,Just Outside Playground,01/23/2018 12:00:00 AM +0000,no,Q015,Forest Park,Q,2,100037819,Q015-DF0016,Q-16,Q015,"E Wheelchair Child, Just Outside Playground",Active
A,POINT (-73.97353281427336 40.681230758584164),626,"In Playground, Under Tree",01/25/2018 12:00:00 AM +0000,yes,B232,Dean Playground,B,1,100038029,B232-DF0452,B-08,B232,"A, In Playground, Under Tree",Active
A,POINT (-73.83667393325119 40.75036644999488),1124,Out in Open,02/01/2018 12:00:00 AM +0000,yes,Q099,Flushing Meadows Corona Park,Q,1,100038543,Q099-DF0272,Q-15,Q099,"A, Out in Open",Active
C,POINT (-73.77935109405628 40.770977006862765),2126,In Playground,02/23/2018 12:00:00 AM +0000,yes,Q103,Kennedy Playground,Q,1,100039494,Q103-DF0625,Q-11,Q103,"C, In Playground",Active
A,POINT (-73.99325276537682 40.71111848324132),2624,"Under Tree, In Shade, Near Ballfield, Just Outside Playground",04/06/2018 12:00:00 AM +0000,yes,M019,Coleman Playground,M,1,100040046,M019-DF0431,M-03,M019,"A, Under Tree, In Shade, Near Ballfield, Just Outside Playground",Active
C,POINT (-73.93929021771686 40.816874573784006),2790,"Under Tree, In Shade, Near Ballfield, Just Outside Playground",05/09/2018 12:00:00 AM +0000,yes,M160,Fred Samuel Playground,M,1,100040095,M160-DF0541,M-10,M160,"C, Under Tree, In Shade, Near Ballfield, Just Outside Playground",Active
Bottle Filler High Low,POINT (-73.9787995932386 40.66157561227531),483,Out in Open,01/23/2018 12:00:00 AM +0000,no,B073,Prospect Park,B,2,100037822,B073-DF0377,B-19,B073,"Bottle Filler High Low, Out in Open",Active
B,POINT (-73.97063653740511 40.80477809407796),1977,Near Ballfield,02/17/2018 12:00:00 AM +0000,no,M071,Riverside Park,M,1,100039346,M071-DF0093,M-14,M071,"B, Near Ballfield",Active
Bottle Filler High Low,POINT (-73.98363708335415 40.71430206756223),2475,"Under Tree, Near Ballfield, In Playground",03/12/2018 12:00:00 AM +0000,no,M235,Sol Lain Plgd,M,2,100039835,M235-DF0298,M-03,M235,"Bottle Filler High Low, Under Tree, Near Ballfield, In Playground",Active
F Dog,POINT (-73.99040200383057 40.71899775155472),2641,Out in Open,04/06/2018 12:00:00 AM +0000,yes,M080,Allen Mall One,M,1,100040040,M080-DF0448,M-03,M080,"F Dog, Out in Open",Active
E High Low,POINT (-74.00327635209798 40.72681874070257),2647,Under Tree,04/14/2018 12:00:00 AM +0000,yes,M207,Father Fagan Park,M,2,100040071,M207-DF0454,M-02,M207,"E High Low, Under Tree",Active
D,POINT (-73.99299607150836 40.595401272190536),85,Out in Open,02/01/2018 12:00:00 AM +0000,yes,B349,Bath Playground,B,1,100037446,B349-DF0075,B-11,B349,"D, Out in Open",Active
CS Metal,POINT (-73.87185006485875 40.83686403090535),752,"In Playground, In Shade, Near Ballfield",01/27/2018 12:00:00 AM +0000,no,X123,Noble Playground,X,1,100038151,X123-DF0127,X-09,X123,"CS Metal, In Playground, In Shade, Near Ballfield",Active
Other,POINT (-73.85469975031256 40.67328075916452),1416,Under Tree,02/04/2018 12:00:00 AM +0000,yes,Q094,Tudor Park,Q,1,100038813,Q094-DF0496,Q-10,Q094,"Other, Under Tree",Active
B,POINT (-73.98196589475974 40.78744082797004),1834,"Out in Open, Just Outside Playground",02/14/2018 12:00:00 AM +0000,no,M071,Riverside Park,M,1,100039283,M071-DF0023,M-14,M071,"B, Out in Open, Just Outside Playground",Active
E High Low,POINT (-73.97645262284233 40.661363796484146),2498,"Near Ballfield, Out in Open",03/14/2018 12:00:00 AM +0000,yes,B073,Prospect Park,B,2,100039839,B073-DF0845,B-19,B073,"E High Low, Near Ballfield, Out in Open",Active
Other,POINT (-73.98939109825608 40.71006827391881),2667,"Near Ballfield, In Shade",04/18/2018 12:00:00 AM +0000,no,M391,East River Waterfront Esplanade,M,1,100040038,M391-DF0472,M-01,M391,"Other, Near Ballfield, In Shade",Active
C,POINT (-73.8625945007143 40.666701390972364),62,In Playground,01/12/2018 12:00:00 AM +0000,no,B309,Pink Playground,B,1,100037483,B309-DF0052,B-05,B309,"C, In Playground",Active
B,POINT (-73.91847504463269 40.882438715088384),603,"Under Tree, In Shade",01/25/2018 12:00:00 AM +0000,yes,X080,Henry Hudson Park,X,1,100038091,X080-DF0111,X-08,X080,"B, Under Tree, In Shade",Active
A,POINT (-73.92780848257186 40.66648064901835),726,"Under Tree, In Playground",01/26/2018 12:00:00 AM +0000,yes,B054,Lincoln Terrace / Arthur S. Somers Park,B,1,100038130,B054-DF0488,B-08,B054,"A, Under Tree, In Playground",Active
C,POINT (-73.96835932308288 40.61027188941506),775,"Under Tree, In Playground, Out in Open",01/27/2018 12:00:00 AM +0000,no,B128,Colonel David Marcus Playground,B,1,100038187,B128-DF0503,B-12,B128,"C, Under Tree, In Playground, Out in Open",Active
E Wheelchair,POINT (-73.89850396485852 40.88683456118932),1267,"Out in Open, Just Outside Playground",02/02/2018 12:00:00 AM +0000,yes,X092,Van Cortlandt Park,X,1,100038657,X092-DF0228,X-13,X092,"E Wheelchair, Out in Open, Just Outside Playground",Active
Trough,POINT (-73.81683258927696 40.58289594243219),1316,Out in Open,02/02/2018 12:00:00 AM +0000,no,Q163,Rockaway Beach Boardwalk,Q,1,100038790,Q163-DF0425,Q-14,Q163,"Trough, Out in Open",Active
D,POINT (-74.2099058534571 40.535052781824554),1857,Near Ballfield,02/15/2018 12:00:00 AM +0000,yes,R106,Bloomingdale Park,R,1,100039204,R106-DF0135,R-03,R106,"D, Near Ballfield",Active
A,POINT (-73.70951864446057 40.74479172657429),2767,Near Ballfield,05/07/2018 12:00:00 AM +0000,no,Q318,Playground Eighty LXXX,Q,1,100040175,Q318-DF0767,Q-13,Q318,"A, Near Ballfield",Active
A,POINT (-73.8874348065363 40.657974942291574),42,"Under Tree, In Playground",01/11/2018 12:00:00 AM +0000,no,B214,Linden Park,B,1,100037433,B214-DF0032,B-05,B214,"A, Under Tree, In Playground",Active
A,POINT (-73.97211178052817 40.618544523089255),291,Just Outside Playground,01/20/2018 12:00:00 AM +0000,no,B372,Friends Field,B,1,100037673,B372-DF0255,B-12,B372,"A, Just Outside Playground",Active
D,POINT (-73.9608893755546 40.70067785100997),540,"Under Tree, In Shade, Just Outside Playground",01/24/2018 12:00:00 AM +0000,no,B223NC,Penn Triangle,B,1,100037980,B223NC-DF0415,B-01,B223NC,"D, Under Tree, In Shade, Just Outside Playground",Active
Other,POINT (-73.87356298753475 40.81947019797398),789,Just Outside Playground,01/27/2018 12:00:00 AM +0000,no,X118,Soundview Park,X,1,100038154,X118-DF0149,X-09,X118,"Other, Just Outside Playground",Active
A,POINT (-73.80921625429845 40.58808967752658),1038,Near Ballfield,02/01/2018 12:00:00 AM +0000,no,Q367,Hammel Playground,Q,1,100038433,Q367-DF0190,Q-14,Q367,"A, Near Ballfield",Active
A,POINT (-73.90515858242404 40.72714173726125),2710,Near Ballfield,04/27/2018 12:00:00 AM +0000,no,Q131,Frank Principe Park,Q,1,100040143,Q131-DF0734,Q-05,Q131,"A, Near Ballfield",Active
E Wheelchair Dog,POINT (-73.96726162061226 40.78473441504241),2959,"Under Tree, Out in Open",06/01/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040314,M010-DF0624,M-13,M010,"E Wheelchair Dog, Under Tree, Out in Open",Active
D,POINT (-73.97478656426448 40.69195664033945),397,Out in Open,01/22/2018 12:00:00 AM +0000,no,B032,Fort Greene Park,B,1,100037724,B032-DF0320,B-02,B032,"D, Out in Open",Active
F High Low,POINT (-73.83455147576306 40.852269040419785),895,Out in Open,01/30/2018 12:00:00 AM +0000,,X122,Colucci Playground,X,2,100038287,X122-DF0194,X-10,X122,"F High Low, Out in Open",Active
E Wheelchair,POINT (-73.95477431579909 40.743338875455436),2106,"Under Tree, In Playground",02/23/2018 12:00:00 AM +0000,yes,Q045,Andrews Grove,Q,1,100039527,Q045-DF0606,Q-02,Q045,"E Wheelchair, Under Tree, In Playground",Active
B,POINT (-73.93709618310483 40.793221853349586),2604,"Under Tree, Near Ballfield",04/05/2018 12:00:00 AM +0000,yes,M047,Thomas Jefferson Park,M,1,100040073,M047-DF0411,M-11,M047,"B, Under Tree, Near Ballfield",Active
B,POINT (-73.9512316011198 40.79707362891633),3102,"Under Tree, In Shade, Just Outside Playground",07/11/2018 12:00:00 AM +0000,no,M010,Central Park,M,1,100040458,M010-DF0666,M-13,M010,"B, Under Tree, In Shade, Just Outside Playground",Active
E Wheelchair,POINT (-73.97459236798586 40.78223535552133),5,"In Shade, Under Tree",11/30/1899 12:00:00 AM +0000,,M053,Theodore Roosevelt Park,M,1,100037399,M053-DF0005,M-07,M053,"E Wheelchair, In Shade, Under Tree",Active
Bottle Filler High Low,POINT (-73.82222970159874 40.84888173188497),254,Near Ballfield,01/18/2018 12:00:00 AM +0000,no,X039,Pelham Bay Park,X,2,100037617,X039-DF0010,X-15,X039,"Bottle Filler High Low, Near Ballfield",Active
A,POINT (-73.84229791403713 40.74354977969773),1087,Under Tree,02/01/2018 12:00:00 AM +0000,yes,Q099,Flushing Meadows Corona Park,Q,1,100038476,Q099-DF0236,Q-15,Q099,"A, Under Tree",Active
C,POINT (-73.86151414081283 40.8470366713112),1336,In Playground,02/03/2018 12:00:00 AM +0000,no,X178,Matthews Muliner Playground,X,1,100038713,X178-DF0247,X-11,X178,"C, In Playground",Active
Bottle Filler High Low,POINT (-73.89513299350045 40.840059680520724),1665,Out in Open,02/12/2018 12:00:00 AM +0000,yes,X010,Crotona Park,X,2,100039092,X010-DF0332,X-03,X010,"Bottle Filler High Low, Out in Open",Active
A,POINT (-74.18755139568768 40.518972128285036),1914,Out in Open,02/15/2018 12:00:00 AM +0000,no,R031,Wolfe's Pond Park,R,1,100039334,R031-DF0145,R-03,R031,"A, Out in Open",Active
CS Concrete,POINT (-73.94727004007916 40.787169020114945),2747,"Near Ballfield, In Playground",05/01/2018 12:00:00 AM +0000,yes,M215,Cherry Tree Park,M,1,100040188,M215-DF0521,M-11,M215,"CS Concrete, Near Ballfield, In Playground",Active
A,POINT (-73.82387524659333 40.876256830187415),2996,Near Ballfield,06/06/2018 12:00:00 AM +0000,no,X251,Co-op City Field,X,1,100040335,X251-DF0441,X-10,X251,"A, Near Ballfield",Active
C,POINT (-73.90012909274401 40.758712711346284),646,Near Ballfield,01/25/2018 12:00:00 AM +0000,no,Q174A,St. Michael's Playground,Q,1,100038072,Q174A-DF0057,Q-01,Q174A,"C, Near Ballfield",Active
A,POINT (-73.92841162729212 40.665642015037726),732,Out in Open,01/26/2018 12:00:00 AM +0000,yes,B054,Lincoln Terrace / Arthur S. Somers Park,B,1,100038107,B054-DF0494,B-08,B054,"A, Out in Open",Active
Bottle Filler High Low,POINT (-73.8980871234534 40.88852457036656),1273,Out in Open,02/02/2018 12:00:00 AM +0000,no,X092,Van Cortlandt Park,X,2,100038679,X092-DF0230,X-13,X092,"Bottle Filler High Low, Out in Open",Active
A,POINT (-73.96578294148955 40.686583573613724),1728,In Playground,02/12/2018 12:00:00 AM +0000,yes,B301,Greene Playground,B,1,100039188,B301-DF0714,B-02,B301,"A, In Playground",Active
A,POINT (-73.90079330467755 40.8742470100228),2269,Out in Open,02/28/2018 12:00:00 AM +0000,yes,X038,Washington's Walk,X,1,100039627,X038-DF0410,X-08,X038,"A, Out in Open",Active
C,POINT (-73.71622191904082 40.74962500931249),2355,In Playground,03/02/2018 12:00:00 AM +0000,no,Q310,Glen Oaks Oval,Q,1,100039782,Q310-DF0697,Q-13,Q310,"C, In Playground",Active
A,POINT (-73.92091195466757 40.779556567904926),1373,Out in Open,02/03/2018 12:00:00 AM +0000,no,Q004,Astoria Park,Q,1,100038699,Q004-DF0462,Q-01,Q004,"A, Out in Open",Active
C,POINT (-73.92259619317389 40.81589304066975),1622,"Out in Open, Just Outside Playground",02/11/2018 12:00:00 AM +0000,yes,X155,Patterson Playground,X,1,100039000,X155-DF0306,X-01,X155,"C, Out in Open, Just Outside Playground",Active
C,POINT (-73.88923359212791 40.8162316095212),1628,Near Ballfield,02/12/2018 12:00:00 AM +0000,no,X260,Julio Carballo Fields,X,1,100039065,X260-DF0312,X-02,X260,"C, Near Ballfield",Active
D,POINT (-74.21001574761195 40.533970266206694),1871,Near Ballfield,02/15/2018 12:00:00 AM +0000,yes,R106,Bloomingdale Park,R,1,100039225,R106-DF0140,R-03,R106,"D, Near Ballfield",Active
E Wheelchair,POINT (-73.97271242318304 40.574033108446606),981,Out in Open,01/31/2018 12:00:00 AM +0000,no,B169,Coney Island Beach & Boardwalk,B,1,100038354,B169-DF0586,B-13,B169,"E Wheelchair, Out in Open",Active
D,POINT (-73.83810694088092 40.77723144467796),1479,"Out in Open, Near Ballfield",02/06/2018 12:00:00 AM +0000,no,Q476,College Point Fields,Q,1,100038797,Q476-DF0531,Q-07,Q476,"D, Out in Open, Near Ballfield",Active
C,POINT (-73.84350373687585 40.65710812383054),1522,In Playground,02/07/2018 12:00:00 AM +0000,no,Q421,Walter Ward Playground,Q,1,100038976,Q421-DF0539,Q-10,Q421,"C, In Playground",Active
C,POINT (-73.90946353721453 40.85015932655147),2020,"Under Tree, In Playground",02/19/2018 12:00:00 AM +0000,no,X257,Mount Hope Playground,X,1,100039478,X257-DF0383,X-05,X257,"C, Under Tree, In Playground",Active
E Wheelchair,POINT (-73.97644941628674 40.69771118691468),248,"Under Tree, In Shade, Out in Open, In Playground",01/18/2018 12:00:00 AM +0000,yes,B295,Oxport Playground,B,1,100037637,B295-DF0231,B-02,B295,"E Wheelchair, Under Tree, In Shade, Out in Open, In Playground",Active
A,POINT (-73.74916994933886 40.61106362448738),1081,Out in Open,02/01/2018 12:00:00 AM +0000,no,Q345,Redfern Playground,Q,1,100038445,Q345-DF0230,Q-14,Q345,"A, Out in Open",Active
Other,POINT (-73.77524655325786 40.72600858738745),1330,Just Outside Playground,02/03/2018 12:00:00 AM +0000,no,Q021,Cunningham Park,Q,1,100038718,Q021-DF0436,Q-08,Q021,"Other, Just Outside Playground",Active
A,POINT (-73.80325400432397 40.7487613298217),2163,"Under Tree, In Playground",02/26/2018 12:00:00 AM +0000,no,Q024,Kissena Park,Q,1,100039535,Q024-DF0637,Q-07,Q024,"A, Under Tree, In Playground",Active
D,POINT (-73.89268168706737 40.63097552986464),2412,"Out in Open, In Playground",03/05/2018 12:00:00 AM +0000,no,B018,Canarsie Park,B,1,100039834,B018-DF0811,B-18,B018,"D, Out in Open, In Playground",Active
A,POINT (-73.92829536814698 40.68007478602736),148,"Under Tree, In Playground",01/15/2018 12:00:00 AM +0000,yes,B294,Jackie Robinson Park,B,1,100037537,B294-DF0138,B-03,B294,"A, Under Tree, In Playground",Active
C,POINT (-73.94329684034984 40.674318349792486),689,"Under Tree, In Playground",01/26/2018 12:00:00 AM +0000,yes,B012,Brower Park,B,1,100038054,B012-DF0463,B-08,B012,"C, Under Tree, In Playground",Active
D,POINT (-73.74755981150741 40.59479343105285),1230,Out in Open,02/02/2018 12:00:00 AM +0000,no,Q162J,Beach 17 Playground,Q,1,100038686,Q162J-DF0352,Q-14,Q162J,"D, Out in Open",Active
